Muestreo,Valor
100,949
200,938
300,912
400,867
500,837
600,807
700,742
800,667
900,620
1000,567
1100,534
1200,560
1300,625
1400,811
1500,922
1600,993
1700,1074
1800,1127
1900,1167
2000,1201
2100,1242
2200,1269
2300,1285
2400,1317
2500,1353
2600,1379
2700,1405
2800,1431
2900,1463
3000,1483
3100,1520
3200,1531
3300,1535
3400,1564
3500,1565
3600,1570
3700,1585
3800,1600
3900,1661
4000,1712
4100,1750
4200,1856
4300,1937
4400,2046
4500,2102
4600,2135
4700,2167
4800,2184
4900,2190
5000,2192
5100,2194
5200,2203
5300,2216
5400,2238
5500,2254
5600,2256
5700,2261
5800,2251
5900,2240
6000,2234
6100,2202
6200,2196
6300,2189
6400,2176
6500,2143
6600,2061
6700,1655
6800,1333
6900,1182
7000,1155
7100,1172
7200,1169
7300,1168
7400,1181
7500,1167
7600,1118
7700,1089
7800,1090
7900,1233
8000,1623
8100,1971
8200,2080
8300,2129
8400,2155
8500,2160
8600,2160
8700,2153
8800,2118
8900,2077
9000,1830
9100,1622
9200,1469
9300,1391
9400,1266
9500,1239
9600,1249
9700,1296
9800,1360
9900,1482
10000,1645
10100,1855
10200,2065
10300,2140
10400,2167
10500,2184
10600,2192
10700,2202
10800,2225
10900,2245
11000,2271
11100,2282
11200,2295
11300,2288
11400,2276
11500,2253
11600,2214
11700,2198
11800,2191
11900,2169
12000,2154
12100,2138
12200,2118
12300,2094
12400,2083
12500,2054
12600,2009
12700,1956
12800,1936
12900,1915
13000,1904
13100,1883
13200,1875
13300,1872
13400,1882
13500,1942
13600,1955
13700,1977
13800,2000
13900,2019
14000,2005
14100,1974
14200,1937
14300,1901
14400,1862
14500,1845
14600,1828
14700,1817
14800,1854
14900,1895
15000,1931
15100,1979
15200,1984
15300,1957
15400,1907
15500,1854
15600,1808
15700,1781
15800,1746
15900,1712
16000,1680
16100,1664
16200,1672
16300,1747
16400,1813
16500,1860
16600,1889
16700,1911
16800,1890
16900,1862
17000,1820
17100,1786
17200,1757
17300,1728
17400,1680
17500,1643
17600,1591
17700,1555
17800,1533
17900,1514
18000,1488
18100,1463
18200,1424
18300,1411
18400,1482
18500,1552
18600,1600
18700,1648
18800,1695
18900,1734
19000,1774
19100,1810
19200,1823
19300,1808
19400,1786
19500,1767
19600,1715
19700,1665
19800,1607
19900,1525
20000,1488
